entry_time,exit_time,direction,entry,exit,reason,pnl_usd,capital,risk_mult
2016-03-04 18:45:00,2016-03-04 19:45:00,Short,1267.39,1270.6342082952096,Stop Loss,-91.37713981837875,10984.639807864107,1.5
2016-03-04 23:00:00,2016-03-04 23:15:00,Long,1260.72,1259.1434200162776,Stop Loss,-164.7695971179616,10819.870210746145,1.5
2016-03-07 13:00:00,2016-03-07 13:30:00,Short,1270.18,1272.5002368339333,Stop Loss,-162.29805316119214,10657.572157584953,1.5
2016-03-09 03:15:00,2016-03-09 04:15:00,Long,1252.45,1254.78,Horizon,134.2069369910268,10791.779094575979,1.5
2016-03-10 18:45:00,2016-03-10 19:30:00,Short,1269.91,1272.0803276452773,Stop Loss,8.093834320931975,10799.872928896912,1.5
2016-03-11 03:00:00,2016-03-11 03:15:00,Short,1276.25,1279.085048638565,Stop Loss,-161.99809393345367,10637.874834963459,1.5
2016-03-11 23:00:00,2016-03-11 23:45:00,Long,1249.91,1248.362911759526,Stop Loss,-147.788741513583,10490.086093449876,1.3892694152392766
2016-03-15 03:00:00,2016-03-15 04:00:00,Long,1228.12,1226.92,Horizon,-23.92707819850495,10466.15901525137,1.5
2016-03-15 04:00:00,2016-03-15 05:00:00,Long,1226.92,1228.55,Horizon,117.64033927400439,10583.799354525376,1.5
2016-03-17 02:00:00,2016-03-17 03:00:00,Short,1260.99,1257.46,Horizon,190.618132142031,10774.417486667408,1.5
2016-03-17 08:30:00,2016-03-17 09:15:00,Short,1258.55,1260.7119404259186,Stop Loss,-150.8590722381433,10623.558414429264,1.4001598919368117
2016-03-17 09:30:00,2016-03-17 10:00:00,Short,1262.4,1264.722000819619,Stop Loss,-159.35337621643896,10464.205038212825,1.5
2016-03-23 06:15:00,2016-03-23 07:15:00,Long,1233.56,1236.26,Horizon,164.62922928956294,10628.834267502389,1.5
2016-03-29 19:45:00,2016-03-29 20:45:00,Long,1235.61,1238.65,Horizon,206.1309003408829,10834.965167843271,1.5
2016-04-01 17:15:00,2016-04-01 17:30:00,Long,1214.0,1211.9492336330698,Stop Loss,-162.52447751764905,10672.440690325622,1.5
2016-04-14 03:15:00,2016-04-14 04:15:00,Long,1233.86,1230.2166342006017,Stop Loss,-88.04763569518789,10584.393054630435,1.5
